Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Unnamed: 68
Aruba,ABW,"Population, total",SP.POP.TOTL,54922.0,55578.0,56320.0,57002.0,57619.0,58190.0,58694.0,58990.0,59069.0,59052.0,58950.0,58781.0,58047.0,58299.0,58349.0,58295.0,58368.0,58580.0,58776.0,59191.0,59909.0,60563.0,61276.0,62228.0,62901.0,61728.0,59931.0,59159.0,59331.0,60443.0,62753.0,65896.0,69005.0,73685.0,77595.0,79805.0,83021.0,86301.0,88451.0,89659.0,90588.0,91439.0,92074.0,93128.0,95138.0,97635.0,99405.0,100150.0,100917.0,101604.0,101838.0,102591.0,104110.0,105675.0,106807.0,107906.0,108727.0,108735.0,108908.0,109203.0,108587.0,107700.0,107310.0,107359.0,
Afghanistan,AFG,"Population, total",SP.POP.TOTL,9035043.0,9214083.0,9404406.0,9604487.0,9814318.0,10036008.0,10266395.0,10505959.0,10756922.0,11017409.0,11290128.0,11567667.0,11853696.0,12157999.0,12469127.0,12773954.0,13059851.0,13340756.0,13611441.0,13655567.0,13169311.0,11937581.0,10991378.0,10917982.0,11190221.0,11426852.0,11420074.0,11387818.0,11523298.0,11874088.0,12045660.0,12238879.0,13278974.0,14943172.0,16250794.0,17065836.0,17763266.0,18452091.0,19159996.0,19887785.0,20130327.0,20284307.0,21378117.0,22733049.0,23560654.0,24404567.0,25424094.0,25909852.0,26482622.0,27466101.0,28284089.0,29347708.0,30560034.0,31622704.0,32792523.0,33831764.0,34700612.0,35688935.0,36743039.0,37856121.0,39068979.0,40000412.0,40578842.0,41454761.0,
Angola,AGO,"Population, total",SP.POP.TOTL,5231654.0,5301583.0,5354310.0,5408320.0,5464187.0,5521981.0,5581386.0,5641807.0,5702699.0,5763685.0,5852788.0,5991102.0,6174262.0,6388528.0,6613367.0,6842947.0,7074664.0,7317829.0,7576734.0,7847207.0,8133872.0,8435607.0,8751648.0,9082983.0,9425917.0,9779120.0,10139450.0,10497858.0,10861291.0,11238562.0,11626360.0,12023529.0,12423712.0,12827135.0,13249764.0,13699778.0,14170973.0,14660413.0,15159370.0,15667235.0,16194869.0,16747208.0,17327699.0,17943712.0,18600423.0,19291161.0,20015279.0,20778561.0,21578655.0,22414773.0,23294825.0,24218352.0,25177394.0,26165620.0,27160769.0,28157798.0,29183070.0,30234839.0,31297155.0,32375632.0,33451132.0,34532429.0,35635029.0,36749906.0,
Albania,ALB,"Population, total",SP.POP.TOTL,1608800.0,1659800.0,1711319.0,1762621.0,1814135.0,1864791.0,1914573.0,1965598.0,2022272.0,2081695.0,2135479.0,2187853.0,2243126.0,2296752.0,2350124.0,2404831.0,2458526.0,2513546.0,2566266.0,2617832.0,2671997.0,2726056.0,2784278.0,2843960.0,2904429.0,2964762.0,3022635.0,3083605.0,3142336.0,3227943.0,3286542.0,3266790.0,3247039.0,3227287.0,3207536.0,3187784.0,3168033.0,3148281.0,3128530.0,3108778.0,3089027.0,3060173.0,3051010.0,3039616.0,3026939.0,3011487.0,2992547.0,2970017.0,2947314.0,2927519.0,2913021.0,2905195.0,2900401.0,2895092.0,2889104.0,2880703.0,2876101.0,2873457.0,2866376.0,2854191.0,2837849.0,2811666.0,2777689.0,2745972.0,
Andorra,AND,"Population, total",SP.POP.TOTL,9510.0,10283.0,11086.0,11915.0,12764.0,13634.0,14626.0,15837.0,17176.0,18555.0,19977.0,21442.0,22957.0,24523.0,26130.0,27773.0,29436.0,31097.0,32735.0,34306.0,35782.0,37169.0,38764.0,40565.0,42273.0,43825.0,45734.0,47653.0,49416.0,50620.0,52597.0,56667.0,60200.0,63272.0,64612.0,63912.0,63984.0,64700.0,65382.0,65710.0,65685.0,65852.0,66506.0,69486.0,74325.0,77421.0,79585.0,81877.0,83495.0,83888.0,80706.0,77783.0,76834.0,75194.0,73737.0,72174.0,72181.0,73763.0,75162.0,76474.0,77380.0,78364.0,79705.0,80856.0,
United Arab Emirates,ARE,"Population, total",SP.POP.TOTL,131334.0,137989.0,144946.0,152211.0,159692.0,167103.0,173976.0,179700.0,199416.0,239660.0,286536.0,335027.0,385014.0,436399.0,489087.0,542856.0,615866.0,710209.0,809274.0,912010.0,1015700.0,1099855.0,1166370.0,1235305.0,1305996.0,1377911.0,1467383.0,1574244.0,1681788.0,1789851.0,1898220.0,2006626.0,2114730.0,2222093.0,2328188.0,2434662.0,2597564.0,2817410.0,3040421.0,3266009.0,3493575.0,3723590.0,3956826.0,4192457.0,4428967.0,4664790.0,5009100.0,5624635.0,6302664.0,6707058.0,6869838.0,7104538.0,7391448.0,7693031.0,8059440.0,8505237.0,8935095.0,9223225.0,9346701.0,9445785.0,9401038.0,9575152.0,10074977.0,10483751.0,
Argentina,ARG,"Population, total",SP.POP.TOTL,20386045.0,20726276.0,21072538.0,21421705.0,21769453.0,22112629.0,22453893.0,22799059.0,23150583.0,23508711.0,23878327.0,24257208.0,24644328.0,25046005.0,25461351.0,25874107.0,26282283.0,26701805.0,27132158.0,27568895.0,28011596.0,28463959.0,28924262.0,29391332.0,29863093.0,30336441.0,30811980.0,31291762.0,31780532.0,32270948.0,32755901.0,33230294.0,33693527.0,34152717.0,34613491.0,35070020.0,35513793.0,35947791.0,36372860.0,36794682.0,37213984.0,37624825.0,38029349.0,38424282.0,38815916.0,39216789.0,39622115.0,40016763.0,40424148.0,40854831.0,41288694.0,41730660.0,42161721.0,42582455.0,43024071.0,43477012.0,43900313.0,44288894.0,44654882.0,44973465.0,45191965.0,45312281.0,45407904.0,45538401.0,
Armenia,ARM,"Population, total",SP.POP.TOTL,1863705.0,1927484.0,1991689.0,2056023.0,2120135.0,2183635.0,2246159.0,2307492.0,2367319.0,2424030.0,2475633.0,2525345.0,2577079.0,2630860.0,2686445.0,2743660.0,2818165.0,2912827.0,3012807.0,3078501.0,3107415.0,3135349.0,3163144.0,3191539.0,3224547.0,3260432.0,3294847.0,3328520.0,3355125.0,3443100.0,3552128.0,3613977.0,3571861.0,3453332.0,3364610.0,3307581.0,3278735.0,3246289.0,3208401.0,3167286.0,3221100.0,3211800.0,3199800.0,3182500.0,3164900.0,3146400.0,3127100.0,3107400.0,3087100.0,3066000.0,3044800.0,3027900.0,3024100.0,3022000.0,3013800.0,3004600.0,2992300.0,2979400.0,2969000.0,2962500.0,2961500.0,2962300.0,2969200.0,2990900.0,
American Samoa,ASM,"Population, total",SP.POP.TOTL,20133.0,20666.0,21298.0,21966.0,22673.0,23406.0,24136.0,24863.0,25614.0,26375.0,27026.0,27533.0,27995.0,28436.0,28875.0,29390.0,29959.0,30521.0,31076.0,31611.0,32403.0,33584.0,34909.0,36271.0,37667.0,39103.0,40571.0,42072.0,43615.0,45191.0,46640.0,47882.0,49038.0,50159.0,51251.0,52316.0,53353.0,54362.0,55334.0,56248.0,56855.0,57053.0,57062.0,56971.0,56818.0,56617.0,56374.0,56113.0,55828.0,55528.0,55228.0,54895.0,54489.0,54006.0,53466.0,52878.0,52245.0,51586.0,50908.0,50209.0,49761.0,49225.0,48342.0,47521.0,
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,55603.0,56540.0,57336.0,58138.0,59020.0,59970.0,60900.0,61837.0,62809.0,63819.0,64528.0,64729.0,64615.0,64342.0,64058.0,63839.0,63762.0,63862.0,64038.0,64274.0,64513.0,64665.0,64785.0,64934.0,64882.0,64591.0,64276.0,63946.0,63623.0,63325.0,63066.0,63387.0,64404.0,65587.0,66843.0,68189.0,69612.0,71053.0,72412.0,73666.0,74912.0,76069.0,77032.0,77884.0,78719.0,79611.0,80604.0,81704.0,82912.0,84173.0,85320.0,86332.0,87260.0,88064.0,88765.0,89409.0,89969.0,90468.0,90926.0,91364.0,91846.0,92349.0,92840.0,93316.0,
